epi_week,epi_year,date,location,location_name,cum_death,inc_death,cum_case,inc_case
5,2020,2020-02-01,GM,Germany,0,0,8,8
6,2020,2020-02-08,GM,Germany,0,0,13,5
7,2020,2020-02-15,GM,Germany,0,0,16,3
8,2020,2020-02-22,GM,Germany,0,0,16,0
9,2020,2020-02-29,GM,Germany,0,0,66,50
10,2020,2020-03-07,GM,Germany,0,0,795,729
11,2020,2020-03-14,GM,Germany,8,8,3795,3000
12,2020,2020-03-21,GM,Germany,47,39,16662,12867
13,2020,2020-03-28,GM,Germany,325,278,48582,31920
14,2020,2020-04-04,GM,Germany,1158,833,85778,37196
15,2020,2020-04-11,GM,Germany,2544,1386,117658,31880
16,2020,2020-04-18,GM,Germany,4110,1566,137439,19781
17,2020,2020-04-25,GM,Germany,5500,1390,152438,14999
18,2020,2020-05-02,GM,Germany,6575,1075,161703,9265
19,2020,2020-05-09,GM,Germany,7369,794,168551,6848
20,2020,2020-05-16,GM,Germany,7881,512,173772,5221
21,2020,2020-05-23,GM,Germany,8216,335,177850,4078
22,2020,2020-05-30,GM,Germany,8489,273,181196,3346
23,2020,2020-06-06,GM,Germany,8646,157,183678,2482
24,2020,2020-06-13,GM,Germany,8781,135,186022,2344
25,2020,2020-06-20,GM,Germany,8883,102,189135,3113
26,2020,2020-06-27,GM,Germany,8954,71,193243,4108
27,2020,2020-07-04,GM,Germany,9010,56,196096,2853
28,2020,2020-07-11,GM,Germany,9060,50,198556,2460
29,2020,2020-07-18,GM,Germany,9083,23,201372,2816
30,2020,2020-07-25,GM,Germany,9118,35,204964,3592
31,2020,2020-08-01,GM,Germany,9148,30,209653,4689
32,2020,2020-08-08,GM,Germany,9195,47,215336,5683
33,2020,2020-08-15,GM,Germany,9231,36,222828,7492
34,2020,2020-08-22,GM,Germany,9267,36,232082,9254
35,2020,2020-08-29,GM,Germany,9289,22,240986,8904
36,2020,2020-09-05,GM,Germany,9324,35,248997,8011
37,2020,2020-09-12,GM,Germany,9347,23,258480,9483
38,2020,2020-09-19,GM,Germany,9384,37,270070,11590
39,2020,2020-09-26,GM,Germany,9452,68,282730,12660
40,2020,2020-10-03,GM,Germany,9527,75,296958,14228
41,2020,2020-10-10,GM,Germany,9604,77,319381,22423
42,2020,2020-10-17,GM,Germany,9767,163,356387,37006
43,2020,2020-10-24,GM,Germany,10003,236,418005,61618
44,2020,2020-10-31,GM,Germany,10452,449,518753,100748
45,2020,2020-11-07,GM,Germany,11226,774,642488,123735
46,2020,2020-11-14,GM,Germany,12378,1152,773556,131068
47,2020,2020-11-21,GM,Germany,13884,1506,902528,128972
48,2020,2020-11-28,GM,Germany,15965,2081,1028089,125561
49,2020,2020-12-05,GM,Germany,18517,2552,1153556,125467
50,2020,2020-12-12,GM,Germany,21466,2949,1300516,146960
51,2020,2020-12-19,GM,Germany,25640,4174,1471238,170722
52,2020,2020-12-26,GM,Germany,29422,3782,1627103,155865
53,2020,2021-01-02,GM,Germany,33960,4538,1755351,128248
1,2021,2021-01-09,GM,Germany,39878,5918,1891581,136230
2,2021,2021-01-16,GM,Germany,45974,6096,2019636,128055
3,2021,2021-01-23,GM,Germany,51521,5547,2122679,103043
4,2021,2021-01-30,GM,Germany,56546,5025,2205171,82492
5,2021,2021-02-06,GM,Germany,61286,4740,2275394,70223
6,2021,2021-02-13,GM,Germany,64742,3456,2328447,53053
7,2021,2021-02-20,GM,Germany,67696,2954,2378883,50436
8,2021,2021-02-27,GM,Germany,69888,2192,2434446,55563
9,2021,2021-03-06,GM,Germany,71804,1916,2492079,57633
10,2021,2021-03-13,GM,Germany,73301,1497,2558455,66376
11,2021,2021-03-20,GM,Germany,74565,1264,2645783,87328
12,2021,2021-03-27,GM,Germany,75780,1215,2755225,109442
13,2021,2021-04-03,GM,Germany,76895,1115,2873190,117965
14,2021,2021-04-10,GM,Germany,78249,1354,2980413,107223
15,2021,2021-04-17,GM,Germany,79847,1598,3123077,142664
16,2021,2021-04-24,GM,Germany,81444,1597,3268645,145568
17,2021,2021-05-01,GM,Germany,83082,1638,3400532,131887
18,2021,2021-05-08,GM,Germany,84648,1566,3507673,107141
19,2021,2021-05-15,GM,Germany,86025,1377,3584934,77261
20,2021,2021-05-22,GM,Germany,87298,1273,3642244,57310
21,2021,2021-05-29,GM,Germany,88350,1052,3675296,33052
22,2021,2021-06-05,GM,Germany,89148,798,3697927,22631
23,2021,2021-06-12,GM,Germany,89816,668,3713480,15553
24,2021,2021-06-19,GM,Germany,90270,454,3720031,6551
25,2021,2021-06-26,GM,Germany,90746,476,3726172,6141
26,2021,2021-07-03,GM,Germany,91007,261,3729682,3510
27,2021,2021-07-10,GM,Germany,91190,183,3734468,4786
28,2021,2021-07-17,GM,Germany,91337,147,3741781,7313
29,2021,2021-07-24,GM,Germany,91492,155,3752592,10811
30,2021,2021-07-31,GM,Germany,91637,145,3766765,14173
31,2021,2021-08-07,GM,Germany,91754,117,3784433,17668
32,2021,2021-08-14,GM,Germany,91853,99,3810641,26208
33,2021,2021-08-21,GM,Germany,91956,103,3853055,42414
34,2021,2021-08-28,GM,Germany,92096,140,3913828,60773
35,2021,2021-09-04,GM,Germany,92301,205,3984353,70525
36,2021,2021-09-11,GM,Germany,92553,252,4059081,74728
37,2021,2021-09-18,GM,Germany,92857,304,4125878,66797
38,2021,2021-09-25,GM,Germany,93303,446,4181393,55515
39,2021,2021-10-02,GM,Germany,93711,408,4237619,56226
40,2021,2021-10-09,GM,Germany,94113,402,4293807,56188
41,2021,2021-10-16,GM,Germany,94526,413,4354158,60351
42,2021,2021-10-23,GM,Germany,94991,465,4437280,83122
43,2021,2021-10-30,GM,Germany,95606,615,4559120,121840
44,2021,2021-11-06,GM,Germany,96346,740,4709488,150368
45,2021,2021-11-13,GM,Germany,97389,1043,4942890,233402
46,2021,2021-11-20,GM,Germany,98739,1350,5248291,305401
47,2021,2021-11-27,GM,Germany,100476,1737,5650170,401879
48,2021,2021-12-04,GM,Germany,102568,2092,6051560,401390
49,2021,2021-12-11,GM,Germany,104996,2428,6423520,371960
50,2021,2021-12-18,GM,Germany,107639,2643,6721375,297855
51,2021,2021-12-25,GM,Germany,109749,2110,6923636,202261
52,2021,2022-01-01,GM,Germany,111602,1853,7109182,185546
1,2022,2022-01-08,GM,Germany,113632,2030,7417995,308813
2,2022,2022-01-15,GM,Germany,115337,1705,7835451,417456
3,2022,2022-01-22,GM,Germany,116485,1148,8460546,625095
4,2022,2022-01-29,GM,Germany,117484,999,9429079,968533
5,2022,2022-02-05,GM,Germany,118504,1020,10671602,1242523
6,2022,2022-02-12,GM,Germany,119679,1175,12009712,1338110
7,2022,2022-02-19,GM,Germany,120992,1313,13255989,1246277
8,2022,2022-02-26,GM,Germany,122371,1379,14399012,1143023
9,2022,2022-03-05,GM,Germany,123796,1425,15481890,1082878
10,2022,2022-03-12,GM,Germany,125272,1476,16757658,1275768
11,2022,2022-03-19,GM,Germany,126646,1374,18287986,1530328
12,2022,2022-03-26,GM,Germany,128110,1464,19893028,1605042
13,2022,2022-04-02,GM,Germany,129695,1585,21357039,1464011
14,2022,2022-04-09,GM,Germany,131370,1675,22441051,1084012
15,2022,2022-04-16,GM,Germany,132688,1318,23182447,741396
16,2022,2022-04-23,GM,Germany,133921,1233,24006254,823807
17,2022,2022-04-30,GM,Germany,135292,1371,24710769,704515
18,2022,2022-05-07,GM,Germany,136339,1047,25215210,504441
19,2022,2022-05-14,GM,Germany,137348,1009,25661838,446628
20,2022,2022-05-21,GM,Germany,138204,856,25998085,336247
21,2022,2022-05-28,GM,Germany,138864,660,26244107,246022
22,2022,2022-06-04,GM,Germany,139313,449,26452148,208041
23,2022,2022-06-11,GM,Germany,139729,416,26738530,286382
24,2022,2022-06-18,GM,Germany,140118,389,27124689,386159
25,2022,2022-06-25,GM,Germany,140650,532,27681775,557086
26,2022,2022-07-02,GM,Germany,141189,539,28293960,612185
27,2022,2022-07-09,GM,Germany,141758,569,28926346,632386
28,2022,2022-07-16,GM,Germany,142399,641,29569943,643597
29,2022,2022-07-23,GM,Germany,143061,662,30239122,669179
30,2022,2022-07-30,GM,Germany,143855,794,30787309,548187
31,2022,2022-08-06,GM,Germany,144717,862,31178705,391396
32,2022,2022-08-13,GM,Germany,145561,844,31489484,310779
33,2022,2022-08-20,GM,Germany,146383,822,31771884,282400
34,2022,2022-08-27,GM,Germany,147003,620,32008122,236238
35,2022,2022-09-03,GM,Germany,147642,639,32218483,210361
36,2022,2022-09-10,GM,Germany,148217,575,32422084,203601
37,2022,2022-09-17,GM,Germany,148845,628,32643742,221658
38,2022,2022-09-24,GM,Germany,149368,523,32905086,261344
39,2022,2022-10-01,GM,Germany,149948,580,33312373,407287
40,2022,2022-10-08,GM,Germany,150406,458,33826367,513994
41,2022,2022-10-15,GM,Germany,151260,854,34517327,690960
42,2022,2022-10-22,GM,Germany,152278,1018,35098062,580735
43,2022,2022-10-29,GM,Germany,153377,1099,35523412,425350
44,2022,2022-11-05,GM,Germany,154328,951,35784912,261500
45,2022,2022-11-12,GM,Germany,155403,1075,36005025,220113
46,2022,2022-11-19,GM,Germany,156410,1007,36180077,175052
47,2022,2022-11-26,GM,Germany,157388,978,36348477,168400
48,2022,2022-12-03,GM,Germany,158109,721,36530020,181543
49,2022,2022-12-10,GM,Germany,158851,742,36726061,196041
50,2022,2022-12-17,GM,Germany,159737,886,36946574,220513
51,2022,2022-12-24,GM,Germany,160611,874,37177845,231271
52,2022,2022-12-31,GM,Germany,161465,854,37369866,192021
1,2023,2023-01-07,GM,Germany,162688,1223,37509539,139673
2,2023,2023-01-14,GM,Germany,163775,1087,37605135,95596
3,2023,2023-01-21,GM,Germany,164703,928,37668384,63249
5,2020,2020-02-01,PL,Poland,0,0,0,0
6,2020,2020-02-08,PL,Poland,0,0,0,0
7,2020,2020-02-15,PL,Poland,0,0,0,0
8,2020,2020-02-22,PL,Poland,0,0,0,0
9,2020,2020-02-29,PL,Poland,0,0,0,0
10,2020,2020-03-07,PL,Poland,0,0,5,5
11,2020,2020-03-14,PL,Poland,3,3,103,98
12,2020,2020-03-21,PL,Poland,5,2,536,433
13,2020,2020-03-28,PL,Poland,18,13,1638,1102
14,2020,2020-04-04,PL,Poland,79,61,3627,1989
15,2020,2020-04-11,PL,Poland,208,129,6356,2729
16,2020,2020-04-18,PL,Poland,347,139,8742,2386
17,2020,2020-04-25,PL,Poland,524,177,11273,2531
18,2020,2020-05-02,PL,Poland,664,140,13375,2102
19,2020,2020-05-09,PL,Poland,785,121,15651,2276
20,2020,2020-05-16,PL,Poland,915,130,18257,2606
21,2020,2020-05-23,PL,Poland,993,78,20931,2674
22,2020,2020-05-30,PL,Poland,1061,68,23571,2640
23,2020,2020-06-06,PL,Poland,1153,92,25986,2415
24,2020,2020-06-13,PL,Poland,1237,84,29017,3031
25,2020,2020-06-20,PL,Poland,1346,109,31620,2603
26,2020,2020-06-27,PL,Poland,1435,89,33714,2094
27,2020,2020-07-04,PL,Poland,1512,77,35719,2005
28,2020,2020-07-11,PL,Poland,1568,56,37521,1802
29,2020,2020-07-18,PL,Poland,1618,50,39746,2225
30,2020,2020-07-25,PL,Poland,1664,46,42622,2876
31,2020,2020-08-01,PL,Poland,1721,57,46346,3724
32,2020,2020-08-08,PL,Poland,1800,79,51167,4821
33,2020,2020-08-15,PL,Poland,1869,69,56090,4923
34,2020,2020-08-22,PL,Poland,1951,82,61181,5091
35,2020,2020-08-29,PL,Poland,2032,81,66239,5058
36,2020,2020-09-05,PL,Poland,2113,81,70387,4148
37,2020,2020-09-12,PL,Poland,2182,69,73650,3263
38,2020,2020-09-19,PL,Poland,2282,100,78330,4680
39,2020,2020-09-26,PL,Poland,2424,142,85980,7650
40,2020,2020-10-03,PL,Poland,2604,180,98140,12160
41,2020,2020-10-10,PL,Poland,2972,368,121638,23498
42,2020,2020-10-17,PL,Poland,3524,552,167230,45592
43,2020,2020-10-24,PL,Poland,4351,827,241946,74716
44,2020,2020-10-31,PL,Poland,5631,1280,362731,120785
45,2020,2020-11-07,PL,Poland,7636,2005,521640,158909
46,2020,2020-11-14,PL,Poland,10045,2409,691118,169478
47,2020,2020-11-21,PL,Poland,13288,3243,843475,152357
48,2020,2020-11-28,PL,Poland,16746,3458,973593,130118
49,2020,2020-12-05,PL,Poland,19861,3115,1054273,80680
50,2020,2020-12-12,PL,Poland,22676,2815,1126700,72427
51,2020,2020-12-19,PL,Poland,25254,2578,1194110,67410
52,2020,2020-12-26,PL,Poland,27061,1807,1253957,59847
53,2020,2021-01-02,PL,Poland,29058,1997,1312780,58823
1,2021,2021-01-09,PL,Poland,31011,1953,1376389,63609
2,2021,2021-01-16,PL,Poland,33213,2202,1429612,53223
3,2021,2021-01-23,PL,Poland,35253,2040,1470879,41267
4,2021,2021-01-30,PL,Poland,37082,1829,1508674,37795
5,2021,2021-02-06,PL,Poland,38994,1912,1545530,36856
6,2021,2021-02-13,PL,Poland,40709,1715,1583621,38091
7,2021,2021-02-20,PL,Poland,42077,1368,1631727,48106
8,2021,2021-02-27,PL,Poland,43656,1579,1696885,65158
9,2021,2021-03-06,PL,Poland,45159,1503,1781345,84460
10,2021,2021-03-13,PL,Poland,47068,1909,1889360,108015
11,2021,2021-03-20,PL,Poland,49159,2091,2036700,147340
12,2021,2021-03-27,PL,Poland,51753,2594,2221725,185025
13,2021,2021-04-03,PL,Poland,54737,2984,2415584,193859
14,2021,2021-04-10,PL,Poland,58176,3439,2552898,137314
15,2021,2021-04-17,PL,Poland,61825,3649,2675874,122976
16,2021,2021-04-24,PL,Poland,65222,3397,2751632,75758
17,2021,2021-05-01,PL,Poland,67924,2702,2798617,46985
18,2021,2021-05-08,PL,Poland,69866,1942,2829196,30579
19,2021,2021-05-15,PL,Poland,71609,1743,2851911,22715
20,2021,2021-05-22,PL,Poland,72882,1273,2864546,12635
21,2021,2021-05-29,PL,Poland,73682,800,2871371,6825
22,2021,2021-06-05,PL,Poland,74139,457,2874824,3453
23,2021,2021-06-12,PL,Poland,74562,423,2877243,2419
24,2021,2021-06-19,PL,Poland,74823,261,2878634,1391
25,2021,2021-06-26,PL,Poland,74974,151,2879569,935
26,2021,2021-07-03,PL,Poland,75083,109,2880215,646
27,2021,2021-07-10,PL,Poland,75159,76,2880755,540
28,2021,2021-07-17,PL,Poland,75212,53,2881355,600
29,2021,2021-07-24,PL,Poland,75241,29,2882066,711
30,2021,2021-07-31,PL,Poland,75261,20,2882939,873
31,2021,2021-08-07,PL,Poland,75285,24,2883976,1037
32,2021,2021-08-14,PL,Poland,75299,14,2885185,1209
33,2021,2021-08-21,PL,Poland,75316,17,2886513,1328
34,2021,2021-08-28,PL,Poland,75340,24,2888028,1515
35,2021,2021-09-04,PL,Poland,75379,39,2890161,2133
36,2021,2021-09-11,PL,Poland,75425,46,2893173,3012
37,2021,2021-09-18,PL,Poland,75487,62,2897395,4222
38,2021,2021-09-25,PL,Poland,75571,84,2902591,5196
39,2021,2021-10-02,PL,Poland,75689,118,2909776,7185
40,2021,2021-10-09,PL,Poland,75864,175,2920874,11098
41,2021,2021-10-16,PL,Poland,76111,247,2937069,16195
42,2021,2021-10-23,PL,Poland,76434,323,2968200,31131
43,2021,2021-10-30,PL,Poland,76990,556,3018100,49900
44,2021,2021-11-06,PL,Poland,77733,743,3091713,73613
45,2021,2021-11-13,PL,Poland,78821,1088,3190067,98354
46,2021,2021-11-20,PL,Poland,80781,1960,3326464,136397
47,2021,2021-11-27,PL,Poland,82986,2205,3487254,160790
48,2021,2021-12-04,PL,Poland,85630,2644,3649027,161773
49,2021,2021-12-11,PL,Poland,88414,2784,3808798,159771
50,2021,2021-12-18,PL,Poland,91415,3001,3942864,134066
51,2021,2021-12-25,PL,Poland,94311,2896,4043585,100721
52,2021,2022-01-01,PL,Poland,97559,3248,4120248,76663
1,2022,2022-01-08,PL,Poland,99720,2161,4202090,81842
2,2022,2022-01-15,PL,Poland,102270,2550,4298375,96285
3,2022,2022-01-22,PL,Poland,103819,1549,4484095,185720
4,2022,2022-01-29,PL,Poland,105138,1319,4804390,320295
5,2022,2022-02-05,PL,Poland,106578,1440,5129080,324690
6,2022,2022-02-12,PL,Poland,108089,1511,5379551,250471
7,2022,2022-02-19,PL,Poland,109792,1703,5540302,160751
8,2022,2022-02-26,PL,Poland,111277,1485,5651596,111294
9,2022,2022-03-05,PL,Poland,112535,1258,5734041,82445
10,2022,2022-03-12,PL,Poland,113434,899,5811109,77068
11,2022,2022-03-19,PL,Poland,114206,772,5885446,74337
12,2022,2022-03-26,PL,Poland,114821,615,5939735,54289
13,2022,2022-04-02,PL,Poland,115343,522,5969071,29336
14,2022,2022-04-09,PL,Poland,115635,292,5977773,8702
15,2022,2022-04-16,PL,Poland,115838,203,5984940,7167
16,2022,2022-04-23,PL,Poland,115948,110,5990853,5913
17,2022,2022-04-30,PL,Poland,116059,111,5996514,5661
18,2022,2022-05-07,PL,Poland,116138,79,6000217,3703
19,2022,2022-05-14,PL,Poland,116207,69,6003297,3080
20,2022,2022-05-21,PL,Poland,116268,61,6005436,2139
21,2022,2022-05-28,PL,Poland,116311,43,6007073,1637
22,2022,2022-06-04,PL,Poland,116349,38,6008550,1477
23,2022,2022-06-11,PL,Poland,116371,22,6009989,1439
24,2022,2022-06-18,PL,Poland,116393,22,6011174,1185
25,2022,2022-06-25,PL,Poland,116417,24,6012979,1805
26,2022,2022-07-02,PL,Poland,116435,18,6016249,3270
27,2022,2022-07-09,PL,Poland,116453,18,6021943,5694
28,2022,2022-07-16,PL,Poland,116470,17,6032078,10135
29,2022,2022-07-23,PL,Poland,116510,40,6048411,16333
30,2022,2022-07-30,PL,Poland,116570,60,6069016,20605
31,2022,2022-08-06,PL,Poland,116660,90,6093571,24555
32,2022,2022-08-13,PL,Poland,116773,113,6118482,24911
33,2022,2022-08-20,PL,Poland,116881,108,6142917,24435
34,2022,2022-08-27,PL,Poland,117030,149,6166596,23679
35,2022,2022-09-03,PL,Poland,117153,123,6186948,20352
36,2022,2022-09-10,PL,Poland,117252,99,6211955,25007
37,2022,2022-09-17,PL,Poland,117351,99,6243975,32020
38,2022,2022-09-24,PL,Poland,117456,105,6272576,28601
39,2022,2022-10-01,PL,Poland,117598,142,6297123,24547
40,2022,2022-10-08,PL,Poland,117756,158,6314705,17582
41,2022,2022-10-15,PL,Poland,117900,144,6326446,11741
42,2022,2022-10-22,PL,Poland,118029,129,6334706,8260
43,2022,2022-10-29,PL,Poland,118124,95,6340127,5421
44,2022,2022-11-05,PL,Poland,118170,46,6343675,3548
45,2022,2022-11-12,PL,Poland,118210,40,6346228,2553
46,2022,2022-11-19,PL,Poland,118274,64,6348771,2543
47,2022,2022-11-26,PL,Poland,118306,32,6351237,2466
48,2022,2022-12-03,PL,Poland,118340,34,6354298,3061
49,2022,2022-12-10,PL,Poland,118382,42,6357366,3068
50,2022,2022-12-17,PL,Poland,118429,47,6361464,4098
51,2022,2022-12-24,PL,Poland,118475,46,6365357,3893
52,2022,2022-12-31,PL,Poland,118533,58,6368479,3122
1,2023,2023-01-07,PL,Poland,118586,53,6371116,2637
2,2023,2023-01-14,PL,Poland,118651,65,6373238,2122
3,2023,2023-01-21,PL,Poland,118681,30,6375390,2152
